BadgeCategory,n,mean,median,std,min,q25,q75,IQR,max
No badge,26,22.807692307692307,7.5,46.36724639723108,0,5.25,16.75,11.5,229
Available only,13,9.923076923076923,5.0,11.954507786197489,1,3.0,11.0,8.0,39
Functional only,13,12.461538461538462,15.0,9.11606077769143,1,5.0,20.0,15.0,25
Replicable,36,10.277777777777779,9.0,6.74266209026465,1,5.75,14.25,8.5,29
