BadgeCategory,n,mean,median,std,min,q25,q75,IQR,max
No badge,26,7.076923076923077,3.0,12.188266741167348,0,1.25,5.0,3.75,53
Available only,13,3.1538461538461537,2.0,3.996793586659058,0,0.0,3.0,3.0,12
Functional only,13,4.153846153846154,4.0,2.3750843439814178,1,2.0,7.0,5.0,7
Replicable,36,3.5833333333333335,3.0,3.3753306716316165,0,1.0,4.25,3.25,15
