BadgeCategory,n,mean,median,std,min,q25,q75,IQR,max
No badge,26,1.7307692307692308,1.0,2.9059620411518425,0,0.0,2.0,2.0,13
Available only,13,1.2307692307692308,1.0,1.5892265495016833,0,0.0,2.0,2.0,5
Functional only,13,1.6153846153846154,2.0,1.12089707663561,0,1.0,2.0,1.0,4
Replicable,36,1.3055555555555556,1.0,1.4105610726524886,0,0.0,2.0,2.0,6
